optimizer,lambda_smooth,lambda_feas,lambda_fit,mean_runtime_ms,mean_final_total_cost,std_final_total_cost,mean_cost_reduction_ratio,mean_feas_violation,robust_score
BSpline,4.0,2.0,0.1,96.41162500338396,1098.9468406741935,720.7873903642449,0.8971750750283477,15.734799392382142,0.5604613880305059
Bezier,4.0,2.0,0.2,39.60274999917601,794.5861720674837,185.58761898603748,0.9995547480815509,6.392096428318746,0.6765500968595921
BSpline,4.0,2.0,0.2,94.27712499746121,1045.9211649215013,622.4736730158127,0.8695045754050343,13.390516444545469,0.5706773020054594
Bezier,4.0,2.0,0.4,39.97719999824767,619.6990585527479,50.723757378147035,0.9998170409563514,4.903894204979144,0.814247115806414
BSpline,4.0,2.0,0.4,94.1021250000631,1361.4624909785055,641.8098106039304,0.8995561538367933,17.488282406577994,0.5543344180539405
Bezier,4.0,4.0,0.05,35.15487500044401,1111.6267114686036,185.67312458519973,0.9997173105065764,4.787998836395492,0.8515200377166328
BSpline,4.0,4.0,0.05,88.13027499854797,2623.346267344281,1240.185200894745,0.8765689000067349,16.29307348288724,0.5771790857602546
Bezier,4.0,4.0,0.1,35.18782500032103,1048.1561875406148,167.41835822330353,0.9995787147919595,4.572342077777362,0.8232921796033255
BSpline,4.0,4.0,0.1,85.10465000654222,1750.4363162564432,1088.7986772487416,0.8965916084138255,13.345085056764157,0.7063178799884162
Bezier,4.0,4.0,0.2,34.69537500131992,1189.6145977832027,223.62128073734453,0.9996991430619385,4.944562691755174,0.8415241076959017
BSpline,4.0,4.0,0.2,88.6381500022253,2465.361553646916,1380.4334129346817,0.8984521718896664,16.40155806342115,0.6130775151628132
Bezier,4.0,4.0,0.4,35.86137499951292,944.5973111800411,125.65353908510714,0.9997284390812502,4.4195817163304785,0.8657733100844857
BSpline,4.0,4.0,0.4,83.39977500509121,3455.2270906391263,1908.8309144060104,0.8578491299947296,16.56491535642311,0.5675702372705104
Bezier,4.0,8.0,0.05,34.825724993424956,1696.254860360089,93.51584239389818,0.9994578127034224,4.230912293745993,0.8271911648207662
BSpline,4.0,8.0,0.05,86.25552499870537,5752.289440284233,4973.705905830626,0.8301946415842305,16.172718814957783,0.4437395289182874
Bezier,4.0,8.0,0.1,34.592799998790724,1826.2943118861206,92.03185994571139,0.9992208134715408,4.496460355959801,0.7615105792132684
BSpline,4.0,8.0,0.1,84.0279250041931,2447.685575282514,2066.7906877084147,0.8847135807953534,10.4110854081263,0.733700180617939
Bezier,4.0,8.0,0.2,34.70917500089854,1551.7728699110696,74.47696843913718,0.9993770206527182,4.336479692283955,0.8105823577342527
BSpline,4.0,8.0,0.2,86.19297500263201,2523.989457333789,2455.5735165739607,0.8577228607132407,10.93573658210391,0.6416292252669421
Bezier,4.0,8.0,0.4,34.358624998276355,1548.6834847381792,102.10576687057765,0.999587847532251,4.422036041014324,0.8655250354255716
BSpline,4.0,8.0,0.4,85.81179999600863,1010.8353076429609,795.8764189533616,0.9466433076558236,7.198954392139635,0.9262215350746525
